,user_id,click_article_id,candidate_article_id,session_size,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_referrer_type,time_diff,clicked
0,107051,64329,160132,2,2017-10-02 23:40:15.835,4,1,17,1,2,197.835,1
1,76952,300470,298639,9,2017-10-02 16:34:07.282,4,1,17,1,1,265.282,1
2,76952,300470,300076,9,2017-10-02 16:34:07.282,4,1,17,1,1,265.282,1
3,125418,158229,161100,2,2017-10-03 12:34:09.171,4,3,20,10,2,88.171,1
4,17824,272660,273464,2,2017-10-02 09:31:19.041,4,3,2,1,2,95.041,1
5,75261,162300,162296,4,2017-10-02 16:13:39.000,4,1,17,1,2,200.0,1
6,160938,284452,285435,2,2017-10-04 15:47:05.215,2,3,20,1,2,152.215,1
7,154912,313431,313006,2,2017-10-04 11:47:42.763,4,3,2,1,1,164.763,1
8,71957,300470,298639,3,2017-10-02 15:35:53.487,4,3,2,1,1,233.487,1
9,71957,300470,300076,3,2017-10-02 15:35:53.487,4,3,2,1,1,233.487,1
10,8810,42693,42656,4,2017-10-03 21:13:34.366,2,3,20,1,1,202.366,1
11,114592,64329,160132,3,2017-10-03 02:14:27.650,4,3,2,1,2,83.65,1
12,41153,162655,160974,3,2017-10-02 19:42:11.848,4,3,2,1,2,120.848,1
13,41153,162655,162338,3,2017-10-02 19:42:11.848,4,3,2,1,2,120.848,1
14,41153,162655,158082,3,2017-10-02 19:42:11.848,4,3,2,1,2,120.848,1
15,41153,162655,161858,3,2017-10-02 19:42:11.848,4,3,2,1,2,120.848,1
16,135120,166430,166581,3,2017-10-03 16:45:49.443,4,1,17,1,1,79.443,1
17,112821,285343,285422,7,2017-10-03 01:30:18.023,4,1,13,1,2,96.023,1
18,134042,284547,285342,2,2017-10-03 16:24:55.662,4,3,2,1,2,84.662,1
19,134042,284547,285435,2,2017-10-03 16:24:55.662,4,3,2,1,2,84.662,1
20,134042,284547,286161,2,2017-10-03 16:24:55.662,4,3,2,1,2,84.662,1
21,44987,199197,199198,2,2017-10-03 18:44:02.384,4,1,17,1,2,182.384,1
22,44987,199197,198610,2,2017-10-03 18:44:02.384,4,1,17,1,2,182.384,1
23,103969,64329,160132,2,2017-10-02 22:47:10.227,2,4,2,1,2,193.227,1
24,147087,284547,285342,5,2017-10-03 23:09:36.593,4,1,17,1,1,120.593,1
25,147087,284547,285435,5,2017-10-03 23:09:36.593,4,1,17,1,1,120.593,1
26,147087,284547,286161,5,2017-10-03 23:09:36.593,4,1,17,1,1,120.593,1
27,124371,166430,166581,2,2017-10-03 12:01:41.083,4,3,20,1,1,106.083,1
28,55491,160974,156560,2,2017-10-02 12:16:09.451,4,3,20,1,1,83.451,1
29,55491,160974,161100,2,2017-10-02 12:16:09.451,4,3,20,1,1,83.451,1
30,167701,159762,162338,2,2017-10-04 19:41:46.615,4,1,17,1,1,132.615,1
31,167701,159762,158536,2,2017-10-04 19:41:46.615,4,1,17,1,1,132.615,1
32,43989,158536,157541,3,2017-10-02 09:30:58.955,4,3,2,1,1,123.955,1
33,43989,158536,162338,3,2017-10-02 09:30:58.955,4,3,2,1,1,123.955,1
34,43989,158536,160132,3,2017-10-02 09:30:58.955,4,3,2,1,1,123.955,1
35,133982,158536,157541,2,2017-10-03 16:24:30.073,4,3,2,1,1,126.073,1
36,133982,158536,162338,2,2017-10-03 16:24:30.073,4,3,2,1,1,126.073,1
37,133982,158536,160132,2,2017-10-03 16:24:30.073,4,3,2,1,1,126.073,1
38,76724,162655,160974,3,2017-10-02 16:29:14.421,4,1,17,1,1,135.421,1
39,76724,162655,162338,3,2017-10-02 16:29:14.421,4,1,17,1,1,135.421,1
40,76724,162655,158082,3,2017-10-02 16:29:14.421,4,1,17,1,1,135.421,1
41,76724,162655,161858,3,2017-10-02 16:29:14.421,4,1,17,1,1,135.421,1
42,105527,285342,284547,2,2017-10-03 21:01:57.328,4,3,2,1,2,82.328,1
43,105527,285342,286161,2,2017-10-03 21:01:57.328,4,3,2,1,2,82.328,1
44,64508,156654,156963,2,2017-10-04 16:45:04.686,4,1,17,1,2,95.686,1
45,64508,156654,159847,2,2017-10-04 16:45:04.686,4,1,17,1,2,95.686,1
46,64508,156654,162147,2,2017-10-04 16:45:04.686,4,1,17,1,2,95.686,1
47,114706,159847,156654,2,2017-10-04 09:44:56.012,4,3,20,10,2,124.012,1
